"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"298","CHL",2009,"LAM",13.9535006626249,347.435605288926,40.855560455566,223.495043317247,33.0537215956933,16.1506278430915,35.1950713059683,52.9872297394678,NA,24.4583139420455,34.7441723308388
"299","CHL",2010,"LAM",15.6175083894725,244.507725400408,48.6282097861536,113.698099065817,36.3295548011951,14.612957583273,41.9233287710017,65.9916557930271,NA,26.5227303329524,37.6465482918471
"300","CHL",2011,"LAM",17.0376073994571,239.618077609563,52.3997900659741,125.096508065577,39.7213729619939,16.3575141521813,44.9393891042421,71.0818559685143,NA,29.3381377424741,40.7673581205347
"342","CHN",1990,"ASI",0.771919796544712,3.25528708075997,3.61078037045142,10.5135082283537,1.77953028588152,2.40196533078081,3.37986152774856,12.9191155405925,1.71712393958724,0.565183969474015,1.65017667883702
"343","CHN",1991,"ASI",0.78531241102132,3.76999768999732,4.02722109538908,11.8511030293651,2.0656630701958,3.44408135255039,4.20286515587731,12.385356674106,1.87141215239542,0.608085560943436,1.84451540601941
"344","CHN",1992,"ASI",0.8236300425863,4.27069967858176,4.78624727995384,12.7734587137637,2.61427435511122,4.33348428100017,5.01196913929912,13.2898242147146,2.05597255861059,0.577779248943055,2.12078206673307
"345","CHN",1993,"ASI",0.892338326653359,5.01005805829699,5.77359688864883,13.077076625669,3.35382919181168,4.22625299621763,5.78640824772699,16.2754214616067,3.07089487775466,0.488713583594954,2.45393805756082
"346","CHN",1994,"ASI",1.06859546073797,5.84917823033038,6.65641010721685,14.8598242067254,3.4612333553302,4.45362004630786,6.03572387116101,18.5224847319273,3.30057962303709,0.514566051398116,2.80576691750251
"347","CHN",1995,"ASI",1.25424676143023,7.01053395264465,7.43565908799656,17.3036908185255,3.76790043097081,4.48391907655038,6.05644111548035,19.8356128596819,3.53315980061728,0.518288468581533,3.1527797369052
"348","CHN",1996,"ASI",1.41315093466937,7.60694842137336,8.20033929656139,17.839625278579,4.01797855861571,4.62272314152127,6.46485743620528,21.0452193879497,3.80832358329364,0.564774572282723,3.49094111782527
"349","CHN",1997,"ASI",1.45659785953919,8.75102826667482,8.97506018510889,20.837417168818,4.03278849664454,5.03752418885883,7.26303909712744,24.2184599689011,4.71186018030417,0.666702996849465,3.82763494391206
"350","CHN",1998,"ASI",1.5097165464252,10.1209228939177,9.39374880777816,27.0833384427404,4.22881272549549,5.6513602594585,8.4878158492481,26.9485075623548,5.63209974589059,0.76202860569336,4.1082386845408
"351","CHN",1999,"ASI",1.52195502392213,12.589005030868,10.3582808002634,29.1565119302049,4.30316588778109,6.24179668513819,9.93530958253979,28.6631384690905,6.44799939660618,0.887924156986894,4.43943699670914
"352","CHN",2000,"ASI",1.53143259528286,17.4817335258399,11.7228162295384,30.2637094382551,4.48381182757759,6.75741989809632,11.6804097739722,32.7263527793141,7.79775274230757,0.965884419956687,4.87083030235886
"353","CHN",2001,"ASI",1.60503984924666,18.5852112599106,12.9529972652488,35.4328388830319,4.67721400536916,7.64196325862856,13.6791005234707,36.3950526444285,9.22053503677095,1.10015653010463,5.33648566572681
